chart_date,rank,title,artist,last_week,peak_pos,weeks_on_chart
2026-07-18,67,Hate How You Look,Josh Ross,62,52,14
2026-07-18,68,Whisper My Name,Drake,56,3,8
2026-07-18,69,My Way,Olivia Rodrigo,42,15,4
2026-07-18,70,National Treasures,Drake,64,6,8
2026-07-18,71,Ghetto Love Story,BabyChiefDoit,NEW,71,1
2026-07-18,72,Less,Olivia Rodrigo,55,21,4
2026-07-18,73,u + me = <3,Olivia Rodrigo,48,19,4
2026-07-18,74,Begged,Olivia Rodrigo,51,16,4
2026-07-18,75,Raindance,Dave & Tems,66,49,23
2026-07-18,76,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",70,31,23
2026-07-18,77,Woman,Kane Brown,75,73,13
2026-07-18,78,Rocky Mountain Low,Corey Kent & Koe Wetzel,90,78,11
2026-07-18,79,My Way,Riley Green,77,70,9
2026-07-18,80,misery.,pupsies,NEW,80,1
2026-07-18,81,Willing And Able,Noah Kahan,78,26,11
2026-07-18,82,House Tour,Sabrina Carpenter,82,27,10
2026-07-18,83,Damned If I Do,Vincent Mason,81,77,9
2026-07-18,84,Swim,BTS,76,1,16
2026-07-18,85,Look At My Life,Gracie Abrams,54,54,2
2026-07-18,86,Speed Demon,Justin Bieber,84,66,5
2026-07-18,87,Rethink Some Things,Luke Combs,85,46,15
2026-07-18,88,Bottom Of Your Boots,Ella Langley,74,20,13
2026-07-18,89,I Want You,Cody Johnson,80,80,3
2026-07-18,90,Rein Me In,Sam Fender & Olivia Dean,83,64,16
2026-07-18,91,Great Expectation,Sienna Spiro,NEW,91,1
2026-07-18,92,Mr. Know It All,Teddy Swims,93,76,12
2026-07-18,93,Chevy Silverado,Bailey Zimmerman,92,89,3
2026-07-18,94,Kingdom Of Fear,Cameron Whitcomb,97,94,4
2026-07-18,95,The Time Of My Life,Benson Boone,60,60,2
2026-07-18,96,White Keys,Dominic Fike,86,32,20
2026-07-18,97,Carry On,Kenny Chesney,95,95,3
2026-07-18,98,"Phone, Keys, Wallet",Lainey Wilson & John Mayer,88,80,5
2026-07-18,99,Cigarette Smoke,Olivia Rodrigo,73,27,4
2026-07-18,100,Turn This Truck Around,Jordan Davis,NEW,57,18
